video_name,filter_mode,total_frames,total_detections,avg_detections_per_frame,avg_yolo_confidence,frames_with_detections,detection_rate,avg_speed_variance,max_speed_variance,unique_track_ids,avg_track_duration,track_stability_score
cctv052x2004080613x00017,none,53,110,2.0754716981132075,0.4501936523353352,44,0.8301886792452831,443.5329895019531,1713.3316650390625,12,18.25,76.92307692307692
cctv052x2004080613x00017,gaussian,53,82,1.5471698113207548,0.4421011457227385,40,0.7547169811320755,250.82606506347656,639.2539672851562,7,18.142857142857142,125.0
cctv052x2004080613x00017,median,53,120,2.2641509433962264,0.47528725055580967,45,0.8490566037735849,330.96759033203125,829.7801513671875,10,21.8,90.9090909090909
cctv052x2004080613x00018,none,53,177,3.339622641509434,0.45896154548344986,51,0.9622641509433962,2956.993408203125,36519.421875,15,25.333333333333332,62.5
cctv052x2004080613x00018,gaussian,53,52,0.9811320754716981,0.40681978003082114,28,0.5283018867924528,160.32652282714844,260.733642578125,4,24.0,200.0
cctv052x2004080613x00018,median,53,119,2.2452830188679247,0.44925443600205817,49,0.9245283018867925,3386.86181640625,27299.763671875,11,31.454545454545453,83.33333333333333
cctv052x2004080614x00019,none,53,210,3.9622641509433962,0.48906432053439725,53,1.0,739.053955078125,7550.3974609375,15,32.93333333333333,62.5
cctv052x2004080614x00019,gaussian,53,105,1.9811320754716981,0.45444894935490737,46,0.8679245283018868,253.50979614257812,702.3157348632812,11,28.0,83.33333333333333
cctv052x2004080614x00019,median,53,170,3.207547169811321,0.48755176024660263,51,0.9622641509433962,1314.876220703125,10452.7900390625,12,28.416666666666668,76.92307692307692
cctv052x2004080614x00020,none,53,136,2.5660377358490565,0.4547419995477755,50,0.9433962264150944,168.3837127685547,392.4445495605469,15,28.266666666666666,62.5
cctv052x2004080614x00020,gaussian,53,63,1.1886792452830188,0.43147860070568833,31,0.5849056603773585,201.56077575683594,560.9664916992188,6,26.333333333333332,142.85714285714286
cctv052x2004080614x00020,median,53,113,2.1320754716981134,0.4692800451908604,47,0.8867924528301887,239.1982421875,511.1749267578125,9,26.88888888888889,100.0
cctv052x2004080614x00021,none,53,130,2.452830188679245,0.46710290368254836,51,0.9622641509433962,185.60255432128906,486.46630859375,11,30.0,83.33333333333333
cctv052x2004080614x00021,gaussian,53,90,1.6981132075471699,0.46151566208699046,47,0.8867924528301887,430.6287536621094,1444.2147216796875,6,34.0,142.85714285714286
cctv052x2004080614x00021,median,53,113,2.1320754716981134,0.4778642632261085,48,0.9056603773584906,583.7444458007812,1146.1451416015625,10,25.2,90.9090909090909
cctv052x2004080614x00022,none,53,98,1.849056603773585,0.44955494888266373,48,0.9056603773584906,1519.7227783203125,11153.62109375,9,26.0,100.0
cctv052x2004080614x00022,gaussian,53,75,1.4150943396226414,0.456305298799028,44,0.8301886792452831,202.88365173339844,425.33868408203125,5,27.8,166.66666666666666
cctv052x2004080614x00022,median,53,89,1.679245283018868,0.4580732043338033,47,0.8867924528301887,1025.3514404296875,5282.81298828125,7,32.285714285714285,125.0
cctv052x2004080614x00023,none,52,118,2.269230769230769,0.4656613127638896,43,0.8269230769230769,617.642822265625,3365.012939453125,8,25.375,111.11111111111111
cctv052x2004080614x00023,gaussian,52,93,1.7884615384615385,0.47384396744763246,41,0.7884615384615384,164.97201538085938,298.107666015625,8,23.375,111.11111111111111
cctv052x2004080614x00023,median,52,114,2.1923076923076925,0.4878611240219806,45,0.8653846153846154,1380.3037109375,6947.7568359375,6,28.833333333333332,142.85714285714286
cctv052x2004080614x00026,none,53,324,6.113207547169812,0.5273472927209827,53,1.0,93.83934020996094,317.97125244140625,14,31.285714285714285,66.66666666666667
cctv052x2004080614x00026,gaussian,53,90,1.6981132075471699,0.4329059824991068,35,0.660377358490566,98.1457748413086,189.92921447753906,4,25.75,200.0
cctv052x2004080614x00026,median,53,218,4.113207547169812,0.4951631431051386,50,0.9433962264150944,96.83029174804688,182.4263458251953,10,30.3,90.9090909090909
cctv052x2004080615x00038,none,53,139,2.6226415094339623,0.4355448381152264,45,0.8490566037735849,354.2739562988281,1738.85986328125,9,40.22222222222222,100.0
cctv052x2004080615x00038,gaussian,53,19,0.3584905660377358,0.3827749757112655,10,0.18867924528301888,95.39535522460938,95.39535522460938,1,47.0,500.0
cctv052x2004080615x00038,median,53,43,0.8113207547169812,0.40214389121090927,15,0.2830188679245283,135.75631713867188,206.71990966796875,4,50.25,200.0
cctv052x2004080616x00058,none,53,303,5.716981132075472,0.4835625526894798,53,1.0,730.2633666992188,7869.845703125,15,31.733333333333334,62.5
cctv052x2004080616x00058,gaussian,53,150,2.830188679245283,0.4463057729078902,52,0.9811320754716981,95.94966888427734,187.250732421875,9,33.888888888888886,100.0
cctv052x2004080616x00058,median,53,268,5.056603773584905,0.48173762339202664,52,0.9811320754716981,148.1127471923828,317.0924072265625,15,28.133333333333333,62.5
cctv052x2004080616x00059,none,51,230,4.509803921568627,0.47947143379010654,50,0.9803921568627451,359.087890625,2257.592529296875,13,33.0,71.42857142857143
cctv052x2004080616x00059,gaussian,51,170,3.3333333333333335,0.45010731353291444,49,0.9607843137254902,100.43848419189453,368.8892517089844,12,33.083333333333336,76.92307692307692
cctv052x2004080616x00059,median,51,227,4.450980392156863,0.47057786297871973,50,0.9803921568627451,84.2383041381836,242.2528076171875,12,34.916666666666664,76.92307692307692
cctv052x2004080616x00060,none,53,214,4.037735849056604,0.4388113330760503,53,1.0,327.4139709472656,1904.8822021484375,9,30.555555555555557,100.0
cctv052x2004080616x00060,gaussian,53,149,2.811320754716981,0.4194764591382381,50,0.9433962264150944,5764.48095703125,27920.873046875,7,38.0,125.0
cctv052x2004080616x00060,median,53,241,4.547169811320755,0.4431425148343786,53,1.0,255.92002868652344,2350.13525390625,11,37.0,83.33333333333333
cctv052x2004080616x00061,none,53,235,4.433962264150943,0.4554734855365893,53,1.0,114.3712158203125,306.6707458496094,12,28.5,76.92307692307692
cctv052x2004080616x00061,gaussian,53,114,2.150943396226415,0.428433252727692,48,0.9056603773584906,99.4401626586914,182.8975067138672,6,27.166666666666668,142.85714285714286
cctv052x2004080616x00061,median,53,214,4.037735849056604,0.4592069455282684,53,1.0,152.13450622558594,558.2523193359375,12,29.833333333333332,76.92307692307692
cctv052x2004080616x00062,none,53,347,6.547169811320755,0.508130905241922,53,1.0,85.57550811767578,151.58041381835938,14,34.857142857142854,66.66666666666667
cctv052x2004080616x00062,gaussian,53,306,5.773584905660377,0.5076212293031265,53,1.0,144.75558471679688,736.3896484375,14,34.214285714285715,66.66666666666667
cctv052x2004080616x00062,median,53,370,6.981132075471698,0.5458805075241187,53,1.0,88.03097534179688,161.354248046875,14,35.785714285714285,66.66666666666667
cctv052x2004080617x00064,none,53,417,7.867924528301887,0.48649693997692767,53,1.0,69.24808502197266,109.78958892822266,18,36.0,52.63157894736842
cctv052x2004080617x00064,gaussian,53,261,4.9245283018867925,0.44967488746107714,53,1.0,152.3387908935547,760.0751953125,14,38.42857142857143,66.66666666666667
cctv052x2004080617x00064,median,53,482,9.09433962264151,0.5157337491757987,53,1.0,59.62514877319336,107.70183563232422,19,35.05263157894737,50.0
cctv052x2004080617x00065,none,53,299,5.6415094339622645,0.4863019326885978,53,1.0,140.75306701660156,352.9552001953125,14,38.0,66.66666666666667
cctv052x2004080617x00065,gaussian,53,307,5.7924528301886795,0.50326579709213,53,1.0,127.77054595947266,229.9163818359375,15,35.266666666666666,62.5
cctv052x2004080617x00065,median,53,357,6.735849056603773,0.5351549681186676,53,1.0,123.7363510131836,249.45318603515625,17,35.05882352941177,55.55555555555556
cctv052x2004080617x00066,none,53,221,4.169811320754717,0.43204063968732953,53,1.0,1065.527587890625,5863.19384765625,14,27.0,66.66666666666667
cctv052x2004080617x00066,gaussian,53,282,5.320754716981132,0.4663618434995613,53,1.0,966.848876953125,13592.2705078125,16,31.3125,58.8235294117647
cctv052x2004080617x00066,median,53,368,6.943396226415095,0.4830504332684564,53,1.0,123.26617431640625,853.2185668945312,19,34.10526315789474,50.0
cctv052x2004080617x00067,none,53,201,3.792452830188679,0.43470586066042377,53,1.0,82.90860748291016,122.13465118408203,7,37.857142857142854,125.0
cctv052x2004080617x00067,gaussian,53,252,4.754716981132075,0.4555861220277589,53,1.0,86.18737030029297,324.90582275390625,10,38.1,90.9090909090909
cctv052x2004080617x00067,median,53,307,5.7924528301886795,0.47608452870244794,53,1.0,392.8296813964844,3571.42919921875,11,42.63636363636363,83.33333333333333
cctv052x2004080617x00068,none,53,305,5.754716981132075,0.4438640016156274,53,1.0,92.40180969238281,410.1644287109375,13,37.92307692307692,71.42857142857143
cctv052x2004080617x00068,gaussian,53,306,5.773584905660377,0.4607652289406309,53,1.0,163.98007202148438,939.9039306640625,13,37.84615384615385,71.42857142857143
cctv052x2004080617x00068,median,53,483,9.11320754716981,0.4925158301624683,53,1.0,117.50241088867188,764.4720458984375,17,40.529411764705884,55.55555555555556
cctv052x2004080617x00069,none,53,214,4.037735849056604,0.42231268326253124,52,0.9811320754716981,206.6071319580078,1620.97802734375,13,34.23076923076923,71.42857142857143
cctv052x2004080617x00069,gaussian,53,266,5.018867924528302,0.43724136362117066,53,1.0,1221.0450439453125,12843.69140625,13,34.0,71.42857142857143
cctv052x2004080617x00069,median,53,373,7.037735849056604,0.48428524483295415,53,1.0,100.41490936279297,407.4754333496094,14,40.42857142857143,66.66666666666667
cctv052x2004080617x00070,none,53,263,4.962264150943396,0.4358357057138715,52,0.9811320754716981,123.14846801757812,349.3880310058594,17,32.705882352941174,55.55555555555556
cctv052x2004080617x00070,gaussian,53,316,5.962264150943396,0.4701776543255785,52,0.9811320754716981,171.3177490234375,683.2952270507812,18,33.77777777777778,52.63157894736842
cctv052x2004080617x00070,median,53,404,7.622641509433962,0.49558412715366906,52,0.9811320754716981,487.71978759765625,6862.16064453125,20,34.7,47.61904761904762
cctv052x2004080617x00071,none,53,286,5.39622641509434,0.4507710496317071,53,1.0,111.31553649902344,239.9102325439453,17,36.94117647058823,55.55555555555556
